,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
149,አንተ,ምንጭ,ሆነ,ምድር,አዳም,ተናገረ,እሱ,ፊት,ማን,አለ,እርግጠኛ,ነው,ጥቅስ,አነበበ,አዲስ,አድማስ,ጋዜጣ,ዛሬ,አመት,ከበበ,,,,,,,,
150,ጥር,ቢራ,ማስታወቂያ,አየ,አመለጠ,,,,,,,,,,,,,,,,,,,,,,,
151,ታክሲ,አበደ,አለ,,,,,,,,,,,,,,,,,,,,,,,,,
152,ላሊበላ,እንግዳ,ተቀበለ,ቱሪስት,ተደረገ,ክርስቶስ,ከፍታ,አስተማረ,,,,,,,,,,,,,,,,,,,,
153,ምር,cnj,ቡና,ጃጀ,ሽማግሌ,መራ,እትም,ጡረታ,,,,,,,,,,,,,,,,,,,,
154,ወንድም,ስድብ,ድክመት,ገለጸ,ወረደ,ሰው,በላ,ድርግ,እሱ,አለፈ,ዋጋ,ሌላ,አመነ,ደገፈ,ሀሳብ,አለ,ድርግ,ፎቶ,ተሻለ,ምክንያት,ፈለገ,,,,,,,
155,ግእዝ,ቋንቋ,ማረ,ሰፊ,ድል,,,,,,,,,,,,,,,,,,,,,,,
156,መላ,ህዝብ,ክርስቶስ,ልደት,አል,ሰላም,ደረሰ,,,,,,,,,,,,,,,,,,,,,
157,ዱላ,መታ,ጥይት,ተሻለ,አለ,,,,,,,,,,,,,,,,,,,,,,,
158,intrj,እኛ,ውነት,cnj,ተመለከ,ሀይማኖት,አምላክ,አወቀ,,,,,,,,,,,,,,,,,,,,
159,ወሎ,ቆንጆ,ፈለቀ,,,,,,,,,,,,,,,,,,,,,,,,,
160,ጥር,መልእክት,ላከ,ብዙ,ረዳ,ቋንቋ,ላከ,,,,,,,,,,,,,,,,,,,,,
161,ቋጥኝ,ደረሰ,,,,,,,,,,,,,,,,,,,,,,,,,,
162,መልእክት,ሚስት,ከለከለ,,,,,,,,,,,,,,,,,,,,,,,,,
163,ልብ,በላ,አመት,ህጻን,እጅ,አዘዘ,ለቀቀ,ጠየቀ,ብር,ድሀ,ቤተሰብ,ከፈለ,ቻለ,አወቀ,ገንዘብ,ሰው,ህይወት,አስቀመጠ,ዘራፊ,ፖለቲካ,ድርጅት,ነው,ፍትህ,ፍትህ,,,,
164,ምስኪን,የዋህ,አማኝ,ህዝብ,intrj,አዘነ,ፖለቲከኛ,,,,,,,,,,,,,,,,,,,,,
165,ወለደ,ነጻነት,ኖረ,ተገኘ,አብ,ሀላፊ,አቶ,በለጠ,ካሳ,ልጅ,ምኒልክ,በለጠ,ጻፈ,ደብዳቤ,,,,,,,,,,,,,,
166,ትግራይ,ህዝብ,አለ,ትግሬ,ብሄር,ተባበረ,ዜና,ወጣ,አለ,አረሩ,ተመለከተ,,,,,,,,,,,,,,,,,
167,ብዙ,ፈውስ,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ሰለጠነ,ዘላለም,ሽፈራው,ቡድን,አረመ,ድርግ,ጅማ,አባ,ቡና,ብሄራዊ,ሊግ,ቡድን,,,,,,,,,,,,,,,,
169,ትግራይ,ተገኘ,ፓርቲ,ኦሮሚያ,ማረ,ጋዲሳ,ትግራይ,ተቋቋመ,ሲዳማ,ክልል,ተገኘ,ፓርቲ,እርምጃ,ወደደ,መልካም,,,,,,,,,,,,,
170,አይነት,መራ,አለ,n,በር,cnj,ህጻን,መራ,ሰጠ,ተገቢ,ወላጅ,,,,,,,,,,,,,,,,,
171,ሞያ,ሰብአዊ,መብት,ትግል,ፖለቲካ,ስራ,ተዳበለ,መተግበር,ቻለ,ጥያቄ,ዙሪያ,ተደረገ,ውይይት,,,,,,,,,,,,,,,
172,በገና,ፍቅር,በለጠ,,,,,,,,,,,,,,,,,,,,,,,,,
173,ጦርነት,ጊዜ,ሞተ,ኢትዮጵያዊ,እጥፍ,እኛ,ወገን,ሞተ,በለጠ,ተሸነፈ,አለ,ቦታ,ቅጠል,ረገፈ,እናንተ,ወጣት,,,,,,,,,,,,
174,ሄኖክ,ደነቀ,ተቻለ,ሁሉ,ጀመረ,መሰለ,ሁሉ,ህዝብ,አወቀ,ጠበቀ,አለ,,,,,,,,,,,,,,,,,
175,ነበረ,ተጠናቀቀ,እናት,ሀገሬ,ሰላም,ናደ,መለስ,አማኑኤል,መልካም,ፍቃድ,,,,,,,,,,,,,,,,,,
176,ቀጠለ,ፈረደ,አለ,ገባ,,,,,,,,,,,,,,,,,,,,,,,,
177,ምን,ጠገበ,ሰደበ,ሙያዊ,ብቃት,ደነቀ,ፈራ,መንጋ,እረኛ,ነገር,ማእረግ,ማረ,ከባድ,ገዛ,አገር,አመሰ,,,,,,,,,,,,
178,አለ,በሬ,እኔ,ከፋ,በደሌ,ነገረ,ሳር,ተፋ,,,,,,,,,,,,,,,,,,,,
179,ወንበር,እጅ,ወገብ,ፊደል,,,,,,,,,,,,,,,,,,,,,,,,
180,መላ,ኢትዮጵያ,ክርስቲያን,ገና,አል,ብልጽግና,አል,ሆነ,,,,,,,,,,,,,,,,,,,,
181,አማራ,ውጪ,ልክ,,,,,,,,,,,,,,,,,,,,,,,,,
182,ኢትዮጵያ,ፕሪሚየር,ሊግ,አለ,ሰራ,ሰለጠነ,ክለብ,ፈታ,ልፊያ,አንዳንድ,ሰለጠነ,ሬዲዮ,ቀረበ,ሚዲያ,አለ,ሰፈረ,,,,,,,,,,,,
183,ጨዋታ,ወቃ,ልጅ,cnj,ሞት,ክፉ,,,,,,,,,,,,,,,,,,,,,,
184,አፋር,ወሎ,ክልል,ፈለግ,ኖረ,መብት,ኮምቦልቻ,አፋር,ተዋከበ,እንዳለ,ሰማን,ድርጊት,ፈጸመ,ስርአት,ያዘ,,,,,,,,,,,,,
185,መልካም,ልደት,አል,ኢሳያስ,,,,,,,,,,,,,,,,,,,,,,,,
186,ዳነ,ወንጀል,ተጠረጠረ,ፍርድ,ቤት,ቀረበ,ሀገር,ለየ,አካባቢ,ተዘዋወረ,እምነት,ሰበከ,ሰው,ለየ,መንገድ,ፈወሰ,አለ,እስራኤል,ዳነ,ተዛመደ,,,,,,,,
187,ሀሳብ,ሰማ,እስክንድር,ነጋ,አብይ,አህመድ,ተደረገ,መጠን,አለፈ,ግማሽ,ገደለ,አገር,ራስ,ሀሳብ,ያዘ,ገባ,ከለከለ,አለ,,,,,,,,,,
188,ጥላቻ,ጊዜ,ሰው,ጥር,ዋለ,ችግር,,,,,,,,,,,,,,,,,,,,,,
189,እቃ,ቈፈረ,ዋለ,ጥላቻ,ጀመረ,ነው,ልክ,አለፈ,ሽታ,,,,,,,,,,,,,,,,,,,
190,ሀሰት,ተስፋ,ጠፋ,እውነተኛ,ነው,አመነ,ርኩስ,ነው,,,,,,,,,,,,,,,,,,,,
191,እስክንድር,ራስ,ቀየረ,ደብተራ,,,,,,,,,,,,,,,,,,,,,,,,
192,ወይን,ወገን,ተሻለ,አነሰ,ደገመ,ተመካ,አደጋ,በዛ,እግዚአብሄር,አረቀ,,,,,,,,,,,,,,,,,,
193,ዳር,ቆመ,አየ,ጊዜ,ነው,ዳር,ቆመ,አየ,መብት,አለፈ,ሰጠ,መራ,ብርሀን,ነጋ,ፕሮፌሰር,,,,,,,,,,,,,
194,ከባድ,ሴራ,ቍጥር,ሞከረ,አለ,ተቃራኒ,ቡድን,,,,,,,,,,,,,,,,,,,,,
195,አማራ,ተማረ,ደም,ጨዋታ,ሳምንት,ፊት,አማራ,ተማረ,አብይ,ታማኝ,ባሪያ,አቶ,ተመስገን,ተማሪ,አሉ,ዛር,ኦሮሚያ,መንግስት,አወቀ,አሉ,ዛር,ገንገበት,ንጉሱ,ለቀቀ,ቀረረ,,,
196,ጀግና,እህት,ዘይት,በላ,ተላለፈ,መልእክት,,,,,,,,,,,,,,,,,,,,,,
197,ደሀ,ደንታ,ቢስ,ሆነ,እድገት,ቀጠለ,ቻለ,ተመለከተ,መንግስት,ሀላፊ,አለ,መብት,አፋጣኝ,እርምጃ,ወሰደ,አሰበ,ተገቢ,,,,,,,,,,,
198,ገጽ,ዜና,ኮፒ,ድርግ,ጠቀሰ,ድርግ,ሙያ,ነውር,መረጃ,እኔ,ገጽ,,,,,,,,,,,,,,,,,
199,ውነት,ተናገረ,እስር,ወጣ,ተረከበ,ነበረ,አደራ,ምክር,ነበረ,አክራሪ,አለ,ፖለቲካ,ስል,ሞጣ,ግልጽ,ጥቃት,ሸፈነ,መከራ,አየ,,,,,,,,,
200,ቅድሚያ,ዲሞክራሲ,ሚዲያ,ፍትህ,እኩል,ተጠቃሚነት,ረገጠ,ሚና,ወጣ,ህብረተሰብ,ችግር,ጐላ,ነቀፈ,,,,,,,,,,,,,,,
201,part,አለ,cnj,ጀመረ,አረገ,ውነት,ጠየቀ,ልክ,አለ,num,አለ,ተሻለ,,,,,,,,,,,,,,,,
202,ረዳት,ሂሳብ,ሰበሰበ,ሰጠ,ሄደ,ሰበሰበ,አበረ,ሄደ,,,,,,,,,,,,,,,,,,,,
203,ብርሀን,ባንክ,ፈጠረ,ተባለ,ስምምነት,መንግስት,አማ,ባንክ,አለ,ጤናማ,ውድድር,ተበላሸ,እንግዳ,ስምምነት,,,,,,,,,,,,,,
204,ወንዳገረድ,ገታ,part,ብይ,ሰማ,ለቀቀ,አቶ,ንጉሱ,ለቀቀ,ቀረ,አለመ,,,,,,,,,,,,,,,,,
205,ማር,ጠበቀ,ተባለ,አሁን,አይነት,ጥር,ንግግር,ጠበቀ,ተማረ,ከብት,አሰበ,ፈጠረ,ጠበቀ,አለ,intrj,አለ,,,,,,,,,,,,
206,መዥገር,ምን,መልክ,አማራ,ህዝብ,ኢትዮጵያ,ፖለቲካ,ለቀቀ,ተቻለ,ሰራ,ሴራ,ፖለቲካ,adv,ብዙ,ዋጋ,ከፈለ,,,,,,,,,,,,
207,ጥያቄ,ነካ,ጓሮ,ጉዳይ,ጅቡቲ,ደረሰ,ፈላ,ነውረኛ,ወጠጤ,ታገሰ,ብድር,ሸጋ,ዘመድ,ገለጠ,intrj,,,,,,,,,,,,,
208,እቃ,ሁሉ,ኮፒ,ትርጉም,ጀመረ,ስድብ,ጠቀመ,ሆነ,,,,,,,,,,,,,,,,,,,,
209,አብ,መካከለኛ,ምስራቅ,ድርግ,ሰባ,ጉብኝት,መንግስት,ይሁንታ,ግኝ*,አለ,ገለጸ,,,,,,,,,,,,,,,,,
210,part,እግዚአብሄር,ዳነ,ተስፋ,ድርግ,መልካም,,,,,,,,,,,,,,,,,,,,,,
211,ጐዳ,ሀዘን,adv,ውግእ,ጊዜ,ጕርምርም,ቁስል,አለ,ደም,ፈሳ,አይን,አለ,ምሳሌ,,,,,,,,,,,,,,,
212,ተማረ,ጉዳይ,ጠቀለለ,ሚኒስቴር,ጽህፈት,ቤት,ዛር,መሸ,ሰአት,ገለጠ,ሰጠ,ሳይንስ,ከፍተኛ,ትምህርት,ሚኒስቴር,ሳሙኤል,ክፍል,አዲ,ማለዳ,ተናገረ,,,,,,,,
213,አደገ,አለ,ሀገሬ,ጥር,ሰማ,አለ,መቼ,አለ,ክፍተት,አወቀ,እድገት,ምንጭ,ገለጸ,ምሳሌ,ብድር,ምጣኔ,ልክ,,,,,,,,,,,
214,adv,በላ,ሰላም,ሽልማት,በቃ,ብልጽግና,ኦሮሞ,ተባለ,አወቀ,አሜሪካ,ታገለ,ሆነ,ሽልማት,ገባ,አል,ከበረ,,,,,,,,,,,,
215,አል,ሰላም,ፍቅር,ሆነ,,,,,,,,,,,,,,,,,,,,,,,,
216,አጠቃላይ,ግማሽ,ቢሊዮን,ብር,ገመተ,ባእድ,ቀላቀለ,ገመተ,ቅቤ,ማር,ምርት,ተጠረጠረ,ያዘ,ኢትዮጵያ,ምግብ,መድሀኒት,ቁጥጥር,ባለስልጣን,አወቀ,,,,,,,,,
217,ስራ,ከንቱ,intrj,,,,,,,,,,,,,,,,,,,,,,,,,
218,አመት,አል,ደስታ,ፍቅር,ተከበረ,ቀን,ለየ,ምክንያት,ቤተሰብ,ክብር,ቻለ,ረሳ,,,,,,,,,,,,,,,,
219,እስክንድር,ነጋ,አስራት,ድርግ,ድምጥ,ረዳ,ኖረ,ሰአት,እስክንድር,ፈለገ,ምርጫ,ህክምና,,,,,,,,,,,,,,,,
220,መቼ,ትርጉም,intrj,,,,,,,,,,,,,,,,,,,,,,,,,
221,ሰው,ልጅ,መልካም,ተመኘ,ተስፋ,ቈረጠ,ተስፋ,ቀጠለ,አቅጣጫ,ጠፍ,ትክክለኛ,አቅጣጫ,አየ,ደከመ,ብርታት,ሰጠ,እውቀት,ሌላ,እውቀት,ከፈለ,ሀገር,መራ,እናት,ሰላም,በዛ,,,
222,ዋና,ትግል,አሰበ,ውነተኛ,ህዝብ,ልጅ,ሞተ,ዛር,ገራ,ልጅ,ትግል,መና,ቀረ,በቀለ,ቀን,ሩቅ,ሆነ,,,,,,,,,,,
223,ብልጽግና,ፓርቲ,አላማ,መስመር,ልዩነት,ምክንያት,ተወሀደ,አወቀ,አስቸኳይ,ድርጅታዊ,ጉባኤ,ጉባኤ,ነጥብ,አቋም,ገለጠ,ወጣ,ተጠናቀቀ,,,,,,,,,,,
224,ሀገር,ወግ,ነገረ,አለ,አለ,ሀገር,አዲ,ለም,አዲ,አሁን,ታጨ,num,ገደለ,ሹመት,ሞተ,መቃብር,አሁን,ቀረበ,አረደ,ምርጫ,ተደራጀ,እስር,,,,,,
225,ገረመ,አሁን,ሀሳብ,ነፍጠኛ,ማን,እጅ,ጠመዘዘ,ሳበ,መዘዝ,ብዙ,ፈጣን,እርምጃ,ፈለገ,,,,,,,,,,,,,,,
226,ገጽ,ዜና,ኮፒ,ድርግ,ጠቀሰ,ድርግ,ሙያ,ነውር,መረጃ,እኔ,ገጽ,ቴሌግራም,ኮፒ,ተደረገ,,,,,,,,,,,,,,
227,ሞጣ,ሙስሊም,ፈጸመ,ግፍ,ቦታ,ማን,ደገመ,ሁሉ,ሀላፊነት,ሰማን,አለነ,cnj,ተቃራኒ,adv,ላሊበላ,,,,,,,,,,,,,
228,እስክንድር,ነጋ,ከሰሰ,ላይ,ዛር,ድርግ,ጥር,ጎረቤት,ራስ,ወደደ,,,,,,,,,,,,,,,,,,
229,ብልጽግና,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,ሰው,ልጅ,መልክ,ቀለም,መሰለ,ፈገግታ,ደስታ,ተሰራጨ,ሰው,መልክ,አውሬ,cnj,ምን,አወቀ,ህጻን,ገደለ,,,,,,,,,,,,
231,ገባ,ትግል,ጀመረ,አለ,,,,,,,,,,,,,,,,,,,,,,,,
232,ተቃዋሚ,ዘረኛ,እስክንድር,አራ,ማለደ,,,,,,,,,,,,,,,,,,,,,,,
233,ቀን,ገዛ,ማንኛውም,ደቂቃ,ደም,ወሰደ,ደም,አፈር,ፈሳ,ቤት,ተቃወመ,ንጹሀን,ተመኘ,ደም,ነቃ,ሞት,መጠጠ,cnj,ህይወት,አለፈ,,,,,,,,
234,ሪፖርት,ሲዳማ,ቡና,ተከታተለ,ሽንፈት,ድል,መለሰ,,,,,,,,,,,,,,,,,,,,,
235,ደግ,ድርግ,ጓያ,,,,,,,,,,,,,,,,,,,,,,,,,
236,መራር,ፕሮፌሰር,በየነ,ጴጥሮስ,,,,,,,,,,,,,,,,,,,,,,,,
237,ተፈጥሮ,ሀብት,ብልጽግና,መራ,ቃል,ዘንድሮ,ተፋሰስ,ልማት,እንቅስቃሴ,ይፋ,ተደረገ,,,,,,,,,,,,,,,,,
238,ችግር,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,ይቺ,አገር,አመት,ጠጣ,ደም,በቃ,ገና,,,,,,,,,,,,,,,,,,,,,
240,አገዘ,በርበሬ,ሚጥሚጣ,ተዘጋጀ,ቁርጥ,ክትፎ,ጥብስ,ቅቅል,ወጥ,ዶሮ,ስጋ,,,,,,,,,,,,,,,,,
241,ቁምነገር,ድጎማ,ተደረገ,ሰራ,ቤት,ክበብ,አሁን,ወሰነ,ሰአት,ሰራ,ምግብ,ዋጋ,ደህና,አብዛኛ,ዜጋ,ኪስ,መንግስት,ድጎማ,ድርግ,ምግብ,ቤት,cnj,ፈለገ,,,,,
242,ተመሰገነ,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,intrj,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ጓደኛ,በግ,ምሳ,እቃ,አረገ,ትምህርት,ቤት,ያዘ,መጣ,አለ,,,,,,,,,,,,,,,,,,
245,አማርኛ,ጠጣ,አለ,ፖለቲከኛ,ጠጣ,ገጨ,,,,,,,,,,,,,,,,,,,,,,
246,እኔ,ዛር,ሰማ,,,,,,,,,,,,,,,,,,,,,,,,,
247,ሰሞን,ግኝ*,ጠቈመ,,,,,,,,,,,,,,,,,,,,,,,,,
248,ውሳኔ,ህዝብ,cnj,ፈራ,ምርጫ,ውጤት,ጠበቀ,ተቀበለ,,,,,,,,,,,,,,,,,,,,
249,ፊት,ታህሳስ,ተደረገ,ህዝባዊ,ስብሰባ,ቅስቀሳ,ወረዳ,,,,,,,,,,,,,,,,,,,,,
250,ቈጠረ,አሜሪካ,ትናንት,adv,ገደለ,ቃሲም,ቴህራን,ከተማ,ድርግ,ተቃውሞ,ሰማ,ተገኘ,,,,,,,,,,,,,,,,
251,ወንድም,እስክንድር,አሜሪካ,አውሮፓ,ውድ,ቆይታ,ጨረሰ,ዛር,እግዚአብሄር,ተመሰገነ,ቀጠለ,,,,,,,,,,,,,,,,,
252,ጉዳይ,አለፈ,ቀለለ,ቀረ,cnj,ተገኘ,እሸት,ህዝብ,ልብ,ድርግ,ነገረ,ወረደ,አበረ,መሰለ,ተስፋ,ሰጠ,,,,,,,,,,,,
253,ወለጋ,ምሁር,ማህጸን,ወለጋ,ኦሮሞ,ጥበብ,ቋት,ወለጋ,መኮ,ኦዳ,ታሪክ,እርስ,ወለጋ,አብዲሳ,አጋ,ጀግንነት,ወለጋ,ነፈሰ,እስትንፋስ,ወለጋ,ነበልባል,ወላፈን,,,,,,
254,ናደ,ለማ,ትንሽ,ተሻለ,cnj,አረጋ,ድል,ከዳ,ትልቅ,ክብር,አለ,,,,,,,,,,,,,,,,,
255,ሆነ,ረገጠ,አንገት,ፈለገ,,,,,,,,,,,,,,,,,,,,,,,,
256,ብልጽግና,ምርጫ,ሰራ,አለቀ,ስም,ጠራ,ተጸየፈ,ህዝብ,መረጠ,ቀሰቀሰ,ፈጣጣ,ወግ,,,,,,,,,,,,,,,,
257,cnj,እምር,,,,,,,,,,,,,,,,,,,,,,,,,,
258,ዜና,አሜሪካ,ችግር,ዙሪያ,ሰላም,መለሰ,ሆነ,ይህ,ቀጠለ,ሁለት,ጎራ,ማእቀብ,ጣለ,,,,,,,,,,,,,,,
259,ወልዲያ,ዩኒቨርስቲ,ቅርስ,ጥበቃ,ቱሪዝም,ትምህርት,ዘርፍ,ከፈተ,,,,,,,,,,,,,,,,,,,,
260,አማርኛ,አንጎላ,መንግስት,ቀድሞ,ልጅ,ንብረት,ቁጥጥር,post,ዋለ,አዘዘ,,,,,,,,,,,,,,,,,,
261,ዘጸአት,ሳለህ,ጠበቀ,ተዘጋጀ,ስፍራ,ፊት,ላከ,ጥንቃቄ,ተከተለ,ተናገረ,ልብ,አለ,ድምጥ,ስሜ,እርስ,ነው,አመጽ,ቀረ,አየለ,,,,,,,,,
262,ጥራት,ረገጠ,ሸጠ,ምርት,ቁጥጥር,post,ዋሉ,,,,,,,,,,,,,,,,,,,,,
263,አመነ,እግዚአብሄር,ፍቅር,,,,,,,,,,,,,,,,,,,,,,,,,
264,ገረመ,ምስኪን,ሆነ,ተነሳ,መንግስት,ይቅርታ,ጠየቀ,ቀረ,አለ,ጠፋ,ራስ,ረዳ,አረገ,ከባድ,አለ,ረዳ,ነገር,,,,,,,,,,,
265,ሀገር,ሰላም,እኛ,ህዝብ,ኑሮ,ደረጃ,ለውጥ,ቀጠለ,ፈለገ,ምርጫ,ብልጽግና,በላ,,,,,,,,,,,,,,,,
266,እኛ,መቼ,ረሳ,,,,,,,,,,,,,,,,,,,,,,,,,
267,ልል,ስል,ቀደመ,ክፍያ,ካሜራ,,,,,,,,,,,,,,,,,,,,,,,
268,አጣ,ቈየ,ነው,,,,,,,,,,,,,,,,,,,,,,,,,
269,ጥቃት,አሸባሪ,ሙስሊም,ያዘ,አለ,intrj,,,,,,,,,,,,,,,,,,,,,,
270,እኔ,እሱ,,,,,,,,,,,,,,,,,,,,,,,,,,
271,ሞጣ,ጐዳ,መለሰ,ተቋቋመ,ገቢ,ስብስብ,መረጃ,ሌላ,ሰው,ስልክ,ደወለ,መልእክት,ተላለፈ,በጎ,ስራ,ተሳተፈ,ተባበረ,ገቢ,ስብስብ,ዘመቻ,ተሳካ,አስተዋጽኦ,ድርግ,ድርሻ,ውጥእ,,,
272,ጭራ,አንቀጽ,num,num,ጠበቀ,,,,,,,,,,,,,,,,,,,,,,,
273,ቄስ,ወጣት,ቅዳሴ,ወደደ,የትኛው,አለ,intrj,አለ,ተባለ,ቃሉ,ጨረሰ,ብስር,ደረሰ,,,,,,,,,,,,,,,
274,መድሀኒት,አረገ,ወሰደ,አለለ,ደጋ,አለ,intrj,,,,,,,,,,,,,,,,,,,,,
275,ሞተ,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,ውድ,መሪ,ዶክተር,በላ,አንተ,ብዙ,ጠበቀ,ኢትዮጵያዊ,ብዙ,አንተ,መልካም,ሰረረ,ገባ,አቅም,በርታ,ጐን,ነው,,,,,,,,,,,
277,ዋነኛ,ዴሞክራሲያ,ሴት,በላ,ህግ,ጥቅም,ቀደመ,ተቻቻለ,,,,,,,,,,,,,,,,,,,,
278,መንግስት,ዲሞክራሲ,ቀደደ,ሰማ,ድርግ,ደንብ,ተከተለ,አላማ,ገለጠ,ሀሳብ,ነጻነት,ከለከለ,መንግስት,ብልጽግና,ውርእ,መሀል,,,,,,,,,,,,
279,ብሄር,ጋረ,ወሰደ,ፈረስ,አለ,እናንተ,ብሄር,ጋረ,ተናገረ,ኖረ,ምን,አለ,,,,,,,,,,,,,,,,
280,ህጋዊ,ገጽ,መንግስት,,,,,,,,,,,,,,,,,,,,,,,,,
281,ታህሳስ,ባህል,ቱሪዝም,ሚኒስቴር,ሀገር,ጐበኘ,ስፍራ,ዋጋ,ተመን,ወጥ,ድርግ,ሰራ,አለ,,,,,,,,,,,,,,,
282,መራ,ሀይማኖት,አነሰ,ሳበ,አለ,ችግር,ሀይማኖት,ትልቅ,ድርሻ,ወሰደ,ባዶ,,,,,,,,,,,,,,,,,
283,ጠቀመ,እውነት,ተቀበለ,እውነት,ተናገረ,ጥፋት,ይቅርታ,ጠየቀ,መሰለ,ዳንኤል,በቀለ,,,,,,,,,,,,,,,,,
284,ጥር,ወረዳ,ህገወጥ,ነገደ,ለማ,ቈየ,ሰፊ,ወርቅ,ማእድን,,,,,,,,,,,,,,,,,,,
285,መራ,ቡድን,ገነነ,ተስፋ,ነበረ,ሂደት,cnj,ከፍተኛ,ችሎታ,አነሰ,አየነው,አላማ,ነው,,,,,,,,,,,,,,,
286,አበለ,ድንቅ,ጭንጋፍ,አለ,አለ,,,,,,,,,,,,,,,,,,,,,,,
287,ዶሮ,ወደደ,ተነሳ,አንዳንድ,አዘዘ,cnj,ብዙ,ጊዜ,ጣፈጠ,አንዳንድ,ግጥም,cnj,,,,,,,,,,,,,,,,
288,intrj,ልክ,ጀግና,መሪ,አሳብ,ልእልና,ተገኘ,አንተ,አጠገብ,ተገኘ,ርቀት,ስፍራ,ተገኘ,ረዳ,ሰው,ከበሬታ,ተገኘ,,,,,,,,,,,
289,ደገመ,አለ,ልጅ,መታ,ኢትዮጵያ,ፖለቲካ,ሆነ,መታ,ገጠር,መጣ,መታ,ሰፈረ,ተባ,,,,,,,,,,,,,,,
290,ኢትዮጵያ,ከፍተኛ,ትምህርት,ተቋም,አመሰ,ብሄር,ግጭት,ዘጋ,ነበረ,ወለጋ,ዩኒቨርሲቲ,አገልግሎት,ሰጠ,ጀመረ,ወሰነ,ዩኒቨርሲቲ,ግቢ,ለቀቀ,ወጥ,,,,,,,,,
291,አርሲ,ዩኒቨርስቲ,አሶሳ,ዩኒቨርስቲ,አክሱም,ዩኒቨርስቲ,ዲላ,ዩኒቨርስቲ,ድሬዳዋ,ዩኒቨርስቲ,ብርሀን,ዩኒቨርስቲ,ማርቆስ,ዩኒቨርስቲ,ኮተቤ,ዩኒቨርስቲ,ዩኒቨርስቲ,ወላይታ,ሶዶ,ዩኒቨርስቲ,,,,,,,,
292,ልብ,በላ,,,,,,,,,,,,,,,,,,,,,,,,,,
293,እርስ,እርስ,ቈሰለ,ገደለ,ፖለቲካ,ኢኮኖሚ,ሀይለ,ተደለደለ,እንቅርት,ጆሮ,ደግፍ,አለ,ሀገር,በቀል,ድንቅ,ነገር,ገደለ,በላ,,,,,,,,,,
294,ብልህ,መራ,አቢይ,አህመድ,intrj,በረታ,ታሪክ,መሪ,ተመቸ,ህዝብ,ነው,cnj,ለየ,ሰፋ,ጥበበኛ,ነው,አንተ,እግዚአብሄር,ሰጠ,በለጠ,ጠነከረ,,,,,,,
295,ጥር,ሆነ,ቂል,ብልጥ,ሆነ,ክፉ,ድርግ,ዞረ,ሞተ,ዞረ,ዞረ,ዞረ,ዞረ,ሀገር,ቀለመ,,,,,,,,,,,,,
296,ወለጋ,ጠፈፈ,አለ,አለ,ዘመቻ,ፈራ,ጦር,part,ተሰኘ,ድብእ,አላማ,ኦሮሞ,አንድነት,በተነ,ጎሳ,ክፍለ,ሀገር,ከፈለ,ህዝብ,,,,,,,,,
297,ደሱ,ድምጽ,ወያኔ,አሉ,ውነት,ማብራሪያ,ሄደ,,,,,,,,,,,,,,,,,,,,,
298,part,መለስ,አነሰ,ሸኘ,ልምድ,ችሎታ,ጠየቀ,ተገቢ,ምርጫ,,,,,,,,,,,,,,,,,,,
299,ህግ,ጠየቀ,አለ,ህግ,ሀላፊነት,ጌታ,,,,,,,,,,,,,,,,,,,,,,
300,ጠልሰም,ደሰሰ,ጠጅ,ሳር,,,,,,,,,,,,,,,,,,,,,,,,
301,መሰለ,ላይ,ያለው,ሰማ,ሰጠ,ታች,ያለው,አይነት,ብዙ,ሰው,ንግር,መብት,ከለከለ,ስራ,መሰለ,,,,,,,,,,,,,
302,ናፈቀ,ኤርትራ,አየ,አገር,ሰላም,ግኝ*,ወንድም,ጦርነት,ወደመ,,,,,,,,,,,,,,,,,,,
303,ጥንት,ላቲን,ጻፈ,መጽሀፍ,እኔ,አሁን,ባእድ,ቋንቋ,ባእድ,ሀገር,ጻፈ,ቀረ,ራስ,ቋንቋ,ጻፈ,ድግት,ልክ,,,,,,,,,,,
304,ዘሪቱ,አልበም,ፊት,,,,,,,,,,,,,,,,,,,,,,,,,
305,ከለከለ,ተጠቃ,ከለከለ,እርስ,እርስ,ተነጋገረ,ምን,አይነት,ሀሳብ,አለ,ዛር,ጅማ,አባ,ቡና,ተሸነፈ,ጨዋታ,አይነት,እግር,ኳስ,ተጫወተ,ዘይቤ,,,,,,,
306,ፈታ,ሀሳብ,ወጣ,ጣት,ስልክ,አዛዥ,ሆነ,ምርጫ,ክብር,,,,,,,,,,,,,,,,,,,
307,ኢትዮጵያ,ሀገሬ,ችግር,መፍትሄ,ህያው,አምላክ,,,,,,,,,,,,,,,,,,,,,,
308,ቀለጠ,ወርቅ,ጌጣጌጥ,ሆነ,አንተ,ብዙ,ችግር,አለፈ,አደገ,ረሳ,ሆነ,ተሸነፈ,ጠንካራ,ተሸነፈ,ረጋ,,,,,,,,,,,,,
